"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
925142,"Unauthorized Encampment","SEA-City of Seattle","12/02/2024 06:05:54 PM","2024-12-02","06:05:54","219 TERRY AVE N, SEATTLE, WA 98109",47.62038029,-122.33758905,"POINT (-122.33758905 47.62038029)","98109","WEST","SOUTH LAKE UNION"
925145,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/02/2024 06:09:54 PM","2024-12-02","06:09:54","1500 FRANKLIN AVE E, SEATTLE, WA 98102",47.63265404,-122.32467052,"POINT (-122.32467052 47.63265404)","98102","WEST","SOUTH LAKE UNION"
925211,"Bicycle Facility Maintenance","SDOT-Seattle Department of Transportation","12/02/2024 09:35:27 PM","2024-12-02","09:35:27","919 EASTLAKE AVE E, SEATTLE, WA 98109",47.62706564,-122.32973801,"POINT (-122.32973801 47.62706564)","98109","WEST","SOUTH LAKE UNION"
925232,"Pothole","SDOT-Seattle Department of Transportation","12/02/2024 09:47:35 PM","2024-12-02","09:47:35","215 E NELSON PL, SEATTLE, WA 98102",47.63030757,-122.32703831,"POINT (-122.32703831 47.63030757)","98102","WEST","SOUTH LAKE UNION"
925247,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","12/02/2024 10:37:58 PM","2024-12-02","10:37:58","566 DENNY WAY, SEATTLE, WA 98109",47.61883605,-122.34549497,"POINT (-122.34549497 47.61883605)","98109","WEST","SOUTH LAKE UNION"
925251,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","12/02/2024 10:35:55 PM","2024-12-02","10:35:55","7TH AVE & DENNY WAY, SEATTLE, WA",47.61855517,-122.34337247,"POINT (-122.34337247 47.61855517)","","WEST","SOUTH LAKE UNION"
925274,"General Inquiry - City Light","SCL-Seattle City Light","12/03/2024 05:55:17 AM","2024-12-03","05:55:17","1145 REPUBLICAN ST, SEATTLE, WA 98109",47.62261515,-122.33482668,"POINT (-122.33482668 47.62261515)","98109","WEST","SOUTH LAKE UNION"
925374,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","12/03/2024 07:52:08 AM","2024-12-03","07:52:08","1266 MERCER ST, SEATTLE, WA 98109",47.6243989,-122.33157284,"POINT (-122.33157284 47.6243989)","98109","WEST","SOUTH LAKE UNION"
925428,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 08:26:24 AM","2024-12-03","08:26:24","101 EASTLAKE AVE E, SEATTLE, WA 98109",47.61861139,-122.32944624,"POINT (-122.32944624 47.61861139)","98109","WEST","SOUTH LAKE UNION"
925434,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/03/2024 08:26:39 AM","2024-12-03","08:26:39","100 4TH AVE N, SEATTLE, WA 98109",47.61915331,-122.34857216,"POINT (-122.34857216 47.61915331)","98109","WEST","SOUTH LAKE UNION"
925611,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 10:13:17 AM","2024-12-03","10:13:17","407 BROAD ST, SEATTLE, WA 98109",47.6199031,-122.34833941,"POINT (-122.34833941 47.6199031)","98109","WEST","SOUTH LAKE UNION"
925616,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 10:07:11 AM","2024-12-03","10:07:11","109 4TH AVE N, SEATTLE, WA 98109",47.61891883,-122.34933502,"POINT (-122.34933502 47.61891883)","98109","WEST","SOUTH LAKE UNION"
925649,"Feedback about the Customer Service Requests Portal","Admin","12/03/2024 10:45:29 AM","2024-12-03","10:45:29","566 DENNY WAY, SEATTLE, WA 98109",47.61883605,-122.34549497,"POINT (-122.34549497 47.61883605)","98109","WEST","SOUTH LAKE UNION"
925664,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 11:01:39 AM","2024-12-03","11:01:39","451 BROAD ST, SEATTLE, WA 98109",47.62008761,-122.34798654,"POINT (-122.34798654 47.62008761)","98109","WEST","SOUTH LAKE UNION"
925686,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 11:07:42 AM","2024-12-03","11:07:42","699 EASTLAKE AVE E, SEATTLE, WA 98109",47.62495567,-122.32923364,"POINT (-122.32923364 47.62495567)","98109","WEST","SOUTH LAKE UNION"
925695,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 11:05:39 AM","2024-12-03","11:05:39","111 4TH AVE N, SEATTLE, WA 98109",47.61908985,-122.34927064,"POINT (-122.34927064 47.61908985)","98109","WEST","SOUTH LAKE UNION"
925834,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 01:42:48 PM","2024-12-03","01:42:48","301 PONTIUS AVE N, SEATTLE, WA 98109",47.62094082,-122.331936,"POINT (-122.331936 47.62094082)","98109","WEST","SOUTH LAKE UNION"
925837,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","12/03/2024 01:44:59 PM","2024-12-03","01:44:59","740 DENNY WAY, SEATTLE, WA 98109",47.61867906,-122.34266368,"POINT (-122.34266368 47.61867906)","98109","WEST","SOUTH LAKE UNION"
925850,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 01:56:55 PM","2024-12-03","01:56:55","505 YALE AVE N, SEATTLE, WA 98109",47.62330987,-122.3306232,"POINT (-122.3306232 47.62330987)","98109","WEST","SOUTH LAKE UNION"
925864,"Graffiti","SPU-Seattle Public Utilities","12/03/2024 02:03:15 PM","2024-12-03","02:03:15","600 FAIRVIEW AVE N, SEATTLE, WA 98109",47.62436571,-122.33389231,"POINT (-122.33389231 47.62436571)","98109","WEST","SOUTH LAKE UNION"
