"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
722721,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/04/2024 02:00:13 PM","2024-04-04","02:00:13","1024 S ELMGROVE ST, SEATTLE, WA 98108",47.53098956,-122.3193647,"POINT (-122.3193647 47.53098956)","98108","SOUTHWEST","SOUTH PARK"
722874,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/04/2024 04:48:05 PM","2024-04-04","04:48:05","300 S SULLIVAN ST, SEATTLE, WA 98108",47.52706713,-122.33077522,"POINT (-122.33077522 47.52706713)","98108","SOUTHWEST","SOUTH PARK"
723060,"Unauthorized Encampment","SEA-City of Seattle","04/05/2024 07:22:38 AM","2024-04-05","07:22:38","7100 1ST AVE S, SEATTLE, WA 98108",47.53981578,-122.33369596,"POINT (-122.33369596 47.53981578)","98108","SOUTHWEST","SOUTH PARK"
723427,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/05/2024 12:07:48 PM","2024-04-05","12:07:48","7153 1ST AVE S, SEATTLE, WA 98108",47.53947062,-122.33462762,"POINT (-122.33462762 47.53947062)","98108","SOUTHWEST","SOUTH PARK"
723515,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/05/2024 01:37:46 PM","2024-04-05","01:37:46","1022 S MONROE ST, SEATTLE, WA 98108",47.53129159,-122.31931212,"POINT (-122.31931212 47.53129159)","98108","SOUTHWEST","SOUTH PARK"
723544,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/05/2024 01:59:43 PM","2024-04-05","01:59:43","7100 1ST AVE S, SEATTLE, WA 98108",47.53981578,-122.33369596,"POINT (-122.33369596 47.53981578)","98108","SOUTHWEST","SOUTH PARK"
723560,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/05/2024 02:01:19 PM","2024-04-05","02:01:19","9134 4TH AVE S, SEATTLE, WA 98108",47.5215759,-122.32954728,"POINT (-122.32954728 47.5215759)","98108","SOUTHWEST","SOUTH PARK"
723637,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","04/05/2024 03:45:21 PM","2024-04-05","03:45:21","749 S HENDERSON ST, SEATTLE, WA 98108",47.52290161,-122.32345314,"POINT (-122.32345314 47.52290161)","98108","SOUTHWEST","SOUTH PARK"
723697,"Pothole","SDOT-Seattle Department of Transportation","04/05/2024 04:35:51 PM","2024-04-05","04:35:51","8012 7TH AVE S, SEATTLE, WA 98108",47.5308306,-122.32516137,"POINT (-122.32516137 47.5308306)","98108","SOUTHWEST","SOUTH PARK"
724856,"Unauthorized Encampment","SEA-City of Seattle","04/08/2024 08:20:55 AM","2024-04-08","08:20:55","7100 1ST AVE S, SEATTLE, WA 98108",47.53981578,-122.33369596,"POINT (-122.33369596 47.53981578)","98108","SOUTHWEST","SOUTH PARK"
724898,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","04/08/2024 09:02:34 AM","2024-04-08","09:02:34","7800 5TH AVE S, SEATTLE, WA 98108",47.53241611,-122.32792986,"POINT (-122.32792986 47.53241611)","98108","SOUTHWEST","SOUTH PARK"
724902,"Graffiti","SPU-Seattle Public Utilities","04/08/2024 09:32:48 AM","2024-04-08","09:32:48","8500 14TH AVE S, SEATTLE, WA 98108",47.5270084,-122.31452882,"POINT (-122.31452882 47.5270084)","98108","SOUTHWEST","SOUTH PARK"
724913,"Unauthorized Encampment","SEA-City of Seattle","04/08/2024 09:09:32 AM","2024-04-08","09:09:32","7100 1ST AVE S, SEATTLE, WA 98108",47.53981578,-122.33369596,"POINT (-122.33369596 47.53981578)","98108","SOUTHWEST","SOUTH PARK"
725136,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","04/08/2024 12:43:37 PM","2024-04-08","12:43:37","736 S CLOVERDALE ST, SEATTLE, WA 98108",47.52671028,-122.32387449,"POINT (-122.32387449 47.52671028)","98108","SOUTHWEST","SOUTH PARK"
725794,"Graffiti","SPU-Seattle Public Utilities","04/09/2024 12:16:01 PM","2024-04-09","12:16:01","524 S DIRECTOR ST, SEATTLE, WA 98108",47.52243509,-122.3271998,"POINT (-122.3271998 47.52243509)","98108","SOUTHWEST","SOUTH PARK"
725813,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","04/09/2024 12:37:56 PM","2024-04-09","12:37:56","524 S DIRECTOR ST, SEATTLE, WA 98108",47.52243509,-122.3271998,"POINT (-122.3271998 47.52243509)","98108","SOUTHWEST","SOUTH PARK"
725941,"Internet/Cable Issue","ITD-Seattle Information Technology","04/09/2024 03:15:27 PM","2024-04-09","03:15:27","8507 12TH AVE S, SEATTLE, WA 98108",47.52706879,-122.31779414,"POINT (-122.31779414 47.52706879)","98108","SOUTHWEST","SOUTH PARK"
726089,"Clogged Storm Drain","SPU-Seattle Public Utilities","04/09/2024 06:02:38 PM","2024-04-09","06:02:38","503 S CLOVERDALE ST, SEATTLE, WA 98108",47.52632503,-122.3280683,"POINT (-122.3280683 47.52632503)","98108","SOUTHWEST","SOUTH PARK"
726130,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","04/09/2024 06:23:48 PM","2024-04-09","06:23:48","8104 8TH AVE S, SEATTLE, WA 98108",47.53029793,-122.32257013,"POINT (-122.32257013 47.53029793)","98108","SOUTHWEST","SOUTH PARK"
726133,"Graffiti","SPU-Seattle Public Utilities","04/09/2024 07:21:15 PM","2024-04-09","07:21:15","7900 10TH AVE S, SEATTLE, WA 98108",47.53110489,-122.31984134,"POINT (-122.31984134 47.53110489)","98108","SOUTHWEST","SOUTH PARK"
726154,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","04/09/2024 07:49:29 PM","2024-04-09","07:49:29","9080 MYERS WAY S, SEATTLE, WA 98108",47.52157659,-122.33455943,"POINT (-122.33455943 47.52157659)","98108","SOUTHWEST","SOUTH PARK"
