"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
969992,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 08:06:03 AM","2025-01-30","08:06:03","1100 19TH AVE E, SEATTLE, WA 98112",47.6288314,-122.30690248,"POINT (-122.30690248 47.6288314)","98112","EAST","STEVENS"
969996,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 07:31:49 AM","2025-01-30","07:31:49","952 22ND AVE E, SEATTLE, WA 98112",47.62833094,-122.30324697,"POINT (-122.30324697 47.62833094)","98112","EAST","STEVENS"
970006,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/30/2025 08:18:12 AM","2025-01-30","08:18:12","1715 18TH AVE, SEATTLE, WA 98122",47.61693718,-122.30907385,"POINT (-122.30907385 47.61693718)","98122","EAST","STEVENS"
970022,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","01/30/2025 08:12:08 AM","2025-01-30","08:12:08","1728 E MADISON ST, SEATTLE, WA 98122",47.61627833,-122.30914831,"POINT (-122.30914831 47.61627833)","98122","EAST","STEVENS"
970033,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 08:32:22 AM","2025-01-30","08:32:22","1703 18TH AVE, SEATTLE, WA 98122",47.61662057,-122.30913704,"POINT (-122.30913704 47.61662057)","98122","EAST","STEVENS"
970038,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/30/2025 08:40:25 AM","2025-01-30","08:40:25","1514 E HOWELL ST, SEATTLE, WA 98122",47.617919,-122.31180988,"POINT (-122.31180988 47.617919)","98122","EAST","STEVENS"
970079,"Clogged Storm Drain","SPU-Seattle Public Utilities","01/30/2025 09:00:30 AM","2025-01-30","09:00:30","1103 18TH AVE E, SEATTLE, WA 98112",47.62883273,-122.30894908,"POINT (-122.30894908 47.62883273)","98112","EAST","STEVENS"
970118,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 09:26:49 AM","2025-01-30","09:26:49","1514 E HOWELL ST, SEATTLE, WA 98122",47.617919,-122.31180988,"POINT (-122.31180988 47.617919)","98122","EAST","STEVENS"
970147,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 09:36:47 AM","2025-01-30","09:36:47","1514 E HOWELL ST, SEATTLE, WA 98122",47.617919,-122.31180988,"POINT (-122.31180988 47.617919)","98122","EAST","STEVENS"
970201,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 10:25:14 AM","2025-01-30","10:25:14","1804 15TH AVE, SEATTLE, WA 98122",47.61775283,-122.31227417,"POINT (-122.31227417 47.61775283)","98122","EAST","STEVENS"
970214,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 10:29:16 AM","2025-01-30","10:29:16","1514 E HOWELL ST, SEATTLE, WA 98122",47.617919,-122.31180988,"POINT (-122.31180988 47.617919)","98122","EAST","STEVENS"
970264,"Parking Enforcement","SPD-Seattle Police Department","01/30/2025 11:03:36 AM","2025-01-30","11:03:36","129 20TH AVE E, SEATTLE, WA 98112",47.61952689,-122.30632434,"POINT (-122.30632434 47.61952689)","98112","EAST","STEVENS"
970302,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 11:33:38 AM","2025-01-30","11:33:38","1851 16TH AVE, SEATTLE, WA 98122",47.61814267,-122.31194775,"POINT (-122.31194775 47.61814267)","98122","EAST","STEVENS"
970341,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 11:49:48 AM","2025-01-30","11:49:48","1851 16TH AVE, SEATTLE, WA 98122",47.61814267,-122.31194775,"POINT (-122.31194775 47.61814267)","98122","EAST","STEVENS"
970403,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 01:12:14 PM","2025-01-30","01:12:14","129 20TH AVE E, SEATTLE, WA 98112",47.61952689,-122.30632434,"POINT (-122.30632434 47.61952689)","98112","EAST","STEVENS"
970437,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 01:30:35 PM","2025-01-30","01:30:35","1851 16TH AVE, SEATTLE, WA 98122",47.61814267,-122.31194775,"POINT (-122.31194775 47.61814267)","98122","EAST","STEVENS"
970562,"Streetlight Maintenance","SCL-Seattle City Light","01/30/2025 02:41:12 PM","2025-01-30","02:41:12","22ND AVE E & E PROSPECT ST, SEATTLE, WA",47.6286508,-122.30355211,"POINT (-122.30355211 47.6286508)","","EAST","STEVENS"
970592,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 03:17:22 PM","2025-01-30","03:17:22","800 15TH AVE E, SEATTLE, WA 98112",47.62618364,-122.31227269,"POINT (-122.31227269 47.62618364)","98112","EAST","STEVENS"
970647,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 03:53:36 PM","2025-01-30","03:53:36","1519 E HOWELL ST, SEATTLE, WA 98122",47.6174485,-122.31175313,"POINT (-122.31175313 47.6174485)","98122","EAST","STEVENS"
970654,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 03:49:35 PM","2025-01-30","03:49:35","707 29TH AVE E, SEATTLE, WA 98112",47.62546439,-122.29543154,"POINT (-122.29543154 47.62546439)","98112","EAST","STEVENS"
970659,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/30/2025 03:55:43 PM","2025-01-30","03:55:43","1701 16TH AVE, SEATTLE, WA 98122",47.61673839,-122.31169795,"POINT (-122.31169795 47.61673839)","98122","EAST","STEVENS"
970695,"Overgrown Vegetation","FAS-Finance and Administrative Services","01/30/2025 04:33:55 PM","2025-01-30","04:33:55","350 16TH AVE E, SEATTLE, WA 98112",47.62195738,-122.31106612,"POINT (-122.31106612 47.62195738)","98112","EAST","STEVENS"
970765,"Unauthorized Encampment","SEA-City of Seattle","01/30/2025 05:58:33 PM","2025-01-30","05:58:33","1514 E HOWELL ST, SEATTLE, WA 98122",47.617919,-122.31180988,"POINT (-122.31180988 47.617919)","98122","EAST","STEVENS"
970795,"Parking Enforcement","SPD-Seattle Police Department","01/30/2025 06:44:57 PM","2025-01-30","06:44:57","1621 17TH AVE, SEATTLE, WA 98122",47.61597613,-122.31034144,"POINT (-122.31034144 47.61597613)","98122","EAST","STEVENS"
970809,"Streetlight Maintenance","SCL-Seattle City Light","01/30/2025 07:43:26 PM","2025-01-30","07:43:26","117 19TH AVE E, SEATTLE, WA 98112",47.61926514,-122.3076386,"POINT (-122.3076386 47.61926514)","98112","EAST","STEVENS"
970810,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/30/2025 07:43:24 PM","2025-01-30","07:43:24","302 18TH AVE E, SEATTLE, WA 98112",47.62064353,-122.30845821,"POINT (-122.30845821 47.62064353)","98112","EAST","STEVENS"
970957,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/31/2025 08:12:38 AM","2025-01-31","08:12:38","1022 23RD AVE E, SEATTLE, WA 98112",47.62818054,-122.30210129,"POINT (-122.30210129 47.62818054)","98112","EAST","STEVENS"
971008,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/31/2025 08:55:11 AM","2025-01-31","08:55:11","1825 E ROY ST, SEATTLE, WA 98112",47.62513954,-122.30756537,"POINT (-122.30756537 47.62513954)","98112","EAST","STEVENS"
