"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
959243,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/16/2025 08:51:09 AM","2025-01-16","08:51:09","1491 NE 43RD ST, SEATTLE, WA 98105",47.65968667,-122.31211312,"POINT (-122.31211312 47.65968667)","98105","NORTH","UNIVERSITY DISTRICT"
959245,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/16/2025 08:49:11 AM","2025-01-16","08:49:11","4311 15TH AVE NE, SEATTLE, WA 98105",47.66025881,-122.31235052,"POINT (-122.31235052 47.66025881)","98105","NORTH","UNIVERSITY DISTRICT"
959260,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","01/16/2025 08:49:09 AM","2025-01-16","08:49:09","4325 15TH AVE NE, SEATTLE, WA 98105",47.66062937,-122.31252828,"POINT (-122.31252828 47.66062937)","98105","NORTH","UNIVERSITY DISTRICT"
959264,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 09:11:20 AM","2025-01-16","09:11:20","1050 NE 45TH ST, SEATTLE, WA 98105",47.66149594,-122.31681145,"POINT (-122.31681145 47.66149594)","98105","NORTH","UNIVERSITY DISTRICT"
959325,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 09:57:41 AM","2025-01-16","09:57:41","4244 11TH AVE NE, SEATTLE, WA 98105",47.65970289,-122.31628967,"POINT (-122.31628967 47.65970289)","98105","NORTH","UNIVERSITY DISTRICT"
959328,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 09:46:57 AM","2025-01-16","09:46:57","5200 UNIVERSITY WAY NE, SEATTLE, WA 98105",47.6666588,-122.3127417,"POINT (-122.3127417 47.6666588)","98105","NORTH","UNIVERSITY DISTRICT"
959394,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 10:46:00 AM","2025-01-16","10:46:00","999 NE 40TH ST, SEATTLE, WA 98105",47.65529118,-122.31821021,"POINT (-122.31821021 47.65529118)","98105","NORTH","UNIVERSITY DISTRICT"
959430,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/16/2025 11:32:21 AM","2025-01-16","11:32:21","5201 22ND AVE NE, SEATTLE, WA 98105",47.66664008,-122.30475529,"POINT (-122.30475529 47.66664008)","98105","NORTH","UNIVERSITY DISTRICT"
959450,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","01/16/2025 11:34:24 AM","2025-01-16","11:34:24","5201 22ND AVE NE, SEATTLE, WA 98105",47.66664008,-122.30475529,"POINT (-122.30475529 47.66664008)","98105","NORTH","UNIVERSITY DISTRICT"
959459,"Parking Enforcement","SPD-Seattle Police Department","01/16/2025 11:56:30 AM","2025-01-16","11:56:30","5240 UNIVERSITY WAY NE, SEATTLE, WA 98105",47.66760992,-122.31271814,"POINT (-122.31271814 47.66760992)","98105","NORTH","UNIVERSITY DISTRICT"
959461,"General Inquiry - Police Department","SPD-Seattle Police Department","01/16/2025 11:50:31 AM","2025-01-16","11:50:31","4436 ROOSEVELT WAY NE, SEATTLE, WA 98105",47.66084653,-122.317594,"POINT (-122.317594 47.66084653)","98105","NORTH","UNIVERSITY DISTRICT"
959528,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/16/2025 01:14:05 PM","2025-01-16","01:14:05","5240 UNIVERSITY WAY NE, SEATTLE, WA 98105",47.66760992,-122.31271814,"POINT (-122.31271814 47.66760992)","98105","NORTH","UNIVERSITY DISTRICT"
959605,"Parking Enforcement","SPD-Seattle Police Department","01/16/2025 02:35:44 PM","2025-01-16","02:35:44","5043 11TH AVE NE, SEATTLE, WA 98105",47.66620532,-122.31660055,"POINT (-122.31660055 47.66620532)","98105","NORTH","UNIVERSITY DISTRICT"
959622,"Unauthorized Encampment","SEA-City of Seattle","01/16/2025 02:05:29 PM","2025-01-16","02:05:29","999 NE 40TH ST, SEATTLE, WA 98105",47.65529118,-122.31821021,"POINT (-122.31821021 47.65529118)","98105","NORTH","UNIVERSITY DISTRICT"
959633,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/16/2025 03:09:11 PM","2025-01-16","03:09:11","1013 NE 45TH ST, SEATTLE, WA 98105",47.66098699,-122.31705647,"POINT (-122.31705647 47.66098699)","98105","NORTH","UNIVERSITY DISTRICT"
