"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
761399,"Unauthorized Encampment","SEA-City of Seattle","05/26/2024 04:26:48 PM","2024-05-26","04:26:48","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
761459,"Graffiti","SPU-Seattle Public Utilities","05/26/2024 05:45:27 PM","2024-05-26","05:45:27","1934 NE NORTHGATE WAY, SEATTLE, WA 98125",47.70869466,-122.3065326,"POINT (-122.3065326 47.70869466)","98125","NORTH","VICTORY HEIGHTS"
761623,"Unauthorized Encampment","SEA-City of Seattle","05/27/2024 08:42:25 AM","2024-05-27","08:42:25","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
761904,"Unauthorized Encampment","SEA-City of Seattle","05/27/2024 03:02:19 PM","2024-05-27","03:02:19","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
761961,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","05/27/2024 04:24:58 PM","2024-05-27","04:24:58","10551 19TH AVE NE, SEATTLE, WA 98125",47.70613751,-122.30806837,"POINT (-122.30806837 47.70613751)","98125","NORTH","VICTORY HEIGHTS"
762266,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 07:51:01 AM","2024-05-28","07:51:01","12316 28TH AVE NE, SEATTLE, WA 98125",47.71812075,-122.29739654,"POINT (-122.29739654 47.71812075)","98125","NORTH","VICTORY HEIGHTS"
762591,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 11:40:49 AM","2024-05-28","11:40:49","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
762629,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 12:16:02 PM","2024-05-28","12:16:02","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
762792,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 03:02:20 PM","2024-05-28","03:02:20","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
762975,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 05:53:37 PM","2024-05-28","05:53:37","2310 NE 100TH ST, SEATTLE, WA 98125",47.70133084,-122.3038599,"POINT (-122.3038599 47.70133084)","98125","NORTH","VICTORY HEIGHTS"
763060,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 06:44:00 PM","2024-05-28","06:44:00","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
763074,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 06:35:56 PM","2024-05-28","06:35:56","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
763126,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 08:31:49 PM","2024-05-28","08:31:49","12363 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71910747,-122.29588427,"POINT (-122.29588427 47.71910747)","98125","NORTH","VICTORY HEIGHTS"
763148,"Unauthorized Encampment","SEA-City of Seattle","05/28/2024 08:47:56 PM","2024-05-28","08:47:56","11731 LAKE CITY WAY NE, SEATTLE, WA 98125",47.71536568,-122.29790011,"POINT (-122.29790011 47.71536568)","98125","NORTH","VICTORY HEIGHTS"
