"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
377869,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","11/18/2022 05:05:07 PM","2022-11-18","05:05:07","6517 44TH AVE NE, SEATTLE, WA 98115",47.67633423,-122.28120787,"POINT (-122.28120787 47.67633423)","98115","NORTH","VIEW RIDGE"
378235,"Streetlight Maintenance","SCL-Seattle City Light","11/19/2022 02:53:20 PM","2022-11-19","02:53:20","8514 INVERNESS DR NE, SEATTLE, WA 98115",47.6910799,-122.27643428,"POINT (-122.27643428 47.6910799)","98115","NORTH","VIEW RIDGE"
378240,"Pothole","SDOT-Seattle Department of Transportation","11/19/2022 05:48:47 PM","2022-11-19","05:48:47","6833 55TH AVE NE, SEATTLE, WA 98115",47.67855408,-122.26923389,"POINT (-122.26923389 47.67855408)","98115","NORTH","VIEW RIDGE"
378307,"Parking Enforcement","SPD-Seattle Police Department","11/20/2022 08:55:46 AM","2022-11-20","08:55:46","5815 NE 77TH ST, SEATTLE, WA 98115",47.68452338,-122.26486918,"POINT (-122.26486918 47.68452338)","98115","NORTH","VIEW RIDGE"
378622,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","11/21/2022 06:51:34 AM","2022-11-21","06:51:34","5815 NE 77TH ST, SEATTLE, WA 98115",47.68452338,-122.26486918,"POINT (-122.26486918 47.68452338)","98115","NORTH","VIEW RIDGE"
378688,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","11/21/2022 08:26:42 AM","2022-11-21","08:26:42","4502 NE 70TH ST, SEATTLE, WA 98115",47.67960587,-122.27939294,"POINT (-122.27939294 47.67960587)","98115","NORTH","VIEW RIDGE"
378707,"General Inquiry - City Light","SCL-Seattle City Light","11/21/2022 08:10:17 AM","2022-11-21","08:10:17","5510 NE 70TH ST, SEATTLE, WA 98115",47.6795872,-122.26834701,"POINT (-122.26834701 47.6795872)","98115","NORTH","VIEW RIDGE"
378808,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","11/21/2022 10:01:47 AM","2022-11-21","10:01:47","6517 44TH AVE NE, SEATTLE, WA 98115",47.67633423,-122.28120787,"POINT (-122.28120787 47.67633423)","98115","NORTH","VIEW RIDGE"
379270,"Streetlight Maintenance","SCL-Seattle City Light","11/21/2022 04:57:21 PM","2022-11-21","04:57:21","6555 51ST AVE NE, SEATTLE, WA 98115",47.67728944,-122.27338724,"POINT (-122.27338724 47.67728944)","98115","NORTH","VIEW RIDGE"
379307,"Streetlight Maintenance","SCL-Seattle City Light","11/21/2022 05:01:24 PM","2022-11-21","05:01:24","6527 51ST AVE NE, SEATTLE, WA 98115",47.67662085,-122.27338515,"POINT (-122.27338515 47.67662085)","98115","NORTH","VIEW RIDGE"
379810,"Streetlight Maintenance","SCL-Seattle City Light","11/22/2022 05:10:46 PM","2022-11-22","05:10:46","5700 NE 75TH ST, SEATTLE, WA 98115",47.68314192,-122.26653812,"POINT (-122.26653812 47.68314192)","98115","NORTH","VIEW RIDGE"
380512,"Streetlight Maintenance","SCL-Seattle City Light","11/24/2022 02:01:26 PM","2022-11-24","02:01:26","6511 58TH AVE NE, SEATTLE, WA 98115",47.67618677,-122.26715224,"POINT (-122.26715224 47.67618677)","98115","NORTH","VIEW RIDGE"
380677,"Streetlight Maintenance","SCL-Seattle City Light","11/25/2022 12:09:35 PM","2022-11-25","12:09:35","6903 56TH AVE NE, SEATTLE, WA 98115",47.67880504,-122.2685828,"POINT (-122.2685828 47.67880504)","98115","NORTH","VIEW RIDGE"
380758,"Pothole","SDOT-Seattle Department of Transportation","11/25/2022 05:32:02 PM","2022-11-25","05:32:02","4504 NE 71ST ST, SEATTLE, WA 98115",47.68023805,-122.27941009,"POINT (-122.27941009 47.68023805)","98115","NORTH","VIEW RIDGE"
381430,"Streetlight Maintenance","SCL-Seattle City Light","11/27/2022 12:37:47 PM","2022-11-27","12:37:47","7501 58TH AVE NE, SEATTLE, WA 98115",47.68303901,-122.2664375,"POINT (-122.2664375 47.68303901)","98115","NORTH","VIEW RIDGE"
382136,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","11/28/2022 05:24:13 PM","2022-11-28","05:24:13","7733 SAND POINT WAY NE, SEATTLE, WA 98115",47.68570042,-122.26527397,"POINT (-122.26527397 47.68570042)","98115","NORTH","VIEW RIDGE"
382239,"Abandoned Vehicle/72hr Parking Ordinance","SDOT-Seattle Department of Transportation","11/28/2022 05:08:06 PM","2022-11-28","05:08:06","7733 SAND POINT WAY NE, SEATTLE, WA 98115",47.68570042,-122.26527397,"POINT (-122.26527397 47.68570042)","98115","NORTH","VIEW RIDGE"
382739,"Pothole","SDOT-Seattle Department of Transportation","11/29/2022 07:17:08 PM","2022-11-29","07:17:08","7039 43RD AVE NE, SEATTLE, WA 98115",47.68058393,-122.28321305,"POINT (-122.28321305 47.68058393)","98115","NORTH","VIEW RIDGE"
382747,"Pothole","SDOT-Seattle Department of Transportation","11/29/2022 07:19:07 PM","2022-11-29","07:19:07","4215 NE 70TH ST, SEATTLE, WA 98115",47.67923774,-122.28301832,"POINT (-122.28301832 47.67923774)","98115","NORTH","VIEW RIDGE"
382927,"Pothole","SDOT-Seattle Department of Transportation","11/30/2022 09:52:27 AM","2022-11-30","09:52:27","7745 57TH AVE NE, SEATTLE, WA 98115",47.68577717,-122.26751232,"POINT (-122.26751232 47.68577717)","98115","NORTH","VIEW RIDGE"
383059,"Pothole","SDOT-Seattle Department of Transportation","11/30/2022 09:56:25 AM","2022-11-30","09:56:25","7701 58TH AVE NE, SEATTLE, WA 98115",47.68471349,-122.26626251,"POINT (-122.26626251 47.68471349)","98115","NORTH","VIEW RIDGE"
383280,"General Inquiry - City Light","SCL-Seattle City Light","11/30/2022 04:10:44 PM","2022-11-30","04:10:44","5020 NE 70TH ST, SEATTLE, WA 98115",47.67958744,-122.27338052,"POINT (-122.27338052 47.67958744)","98115","NORTH","VIEW RIDGE"
383341,"Streetlight Maintenance","SCL-Seattle City Light","11/30/2022 06:33:49 PM","2022-11-30","06:33:49","7047 53RD AVE NE, SEATTLE, WA 98115",47.68080435,-122.27082513,"POINT (-122.27082513 47.68080435)","98115","NORTH","VIEW RIDGE"
