"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
955446,"Parking Enforcement","SPD-Seattle Police Department","01/11/2025 04:36:54 PM","2025-01-11","04:36:54","3965 1ST AVE NE, SEATTLE, WA 98105",47.655418,-122.32812958,"POINT (-122.32812958 47.655418)","98105","NORTH","WALLINGFORD"
955458,"Parking Enforcement","SPD-Seattle Police Department","01/11/2025 04:59:04 PM","2025-01-11","04:59:04","4717 MERIDIAN AVE N, SEATTLE, WA 98103",47.66341791,-122.33396294,"POINT (-122.33396294 47.66341791)","98103","NORTH","WALLINGFORD"
955479,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/11/2025 04:57:02 PM","2025-01-11","04:57:02","4717 MERIDIAN AVE N, SEATTLE, WA 98103",47.66341791,-122.33396294,"POINT (-122.33396294 47.66341791)","98103","NORTH","WALLINGFORD"
955555,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/11/2025 10:15:24 PM","2025-01-11","10:15:24","4700 WALLINGFORD AVE N, SEATTLE, WA 98103",47.663006,-122.33613799,"POINT (-122.33613799 47.663006)","98103","NORTH","WALLINGFORD"
955762,"Parking Enforcement","SPD-Seattle Police Department","01/12/2025 11:53:37 AM","2025-01-12","11:53:37","4332 BAGLEY AVE N, SEATTLE, WA 98103",47.66014384,-122.33228332,"POINT (-122.33228332 47.66014384)","98103","NORTH","WALLINGFORD"
955771,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/12/2025 12:03:41 PM","2025-01-12","12:03:41","3909 LATONA AVE NE, SEATTLE, WA 98105",47.65486726,-122.3262396,"POINT (-122.3262396 47.65486726)","98105","NORTH","WALLINGFORD"
955796,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/12/2025 12:29:53 PM","2025-01-12","12:29:53","1509 N 45TH ST, SEATTLE, WA 98103",47.66123571,-122.33875658,"POINT (-122.33875658 47.66123571)","98103","NORTH","WALLINGFORD"
955825,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/12/2025 01:10:14 PM","2025-01-12","01:10:14","4427 5TH AVE NE, SEATTLE, WA 98105",47.66104535,-122.32334453,"POINT (-122.32334453 47.66104535)","98105","NORTH","WALLINGFORD"
956013,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","01/12/2025 03:59:29 PM","2025-01-12","03:59:29","2121 N 52ND ST, SEATTLE, WA 98103",47.6662887,-122.33270759,"POINT (-122.33270759 47.6662887)","98103","NORTH","WALLINGFORD"
956050,"Nuisance dogs in a park","FAS-Finance and Administrative Services","01/12/2025 04:35:47 PM","2025-01-12","04:35:47","4225 WALLINGFORD AVE N, SEATTLE, WA 98103",47.65874359,-122.33685388,"POINT (-122.33685388 47.65874359)","98103","NORTH","WALLINGFORD"
956080,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/12/2025 06:04:28 PM","2025-01-12","06:04:28","2309 N NORTHLAKE WAY, SEATTLE, WA 98103",47.64958568,-122.33119375,"POINT (-122.33119375 47.64958568)","98103","NORTH","WALLINGFORD"
956125,"Parking Enforcement","SPD-Seattle Police Department","01/12/2025 06:58:53 PM","2025-01-12","06:58:53","1502 N 35TH ST, SEATTLE, WA 98103",47.64939703,-122.3400475,"POINT (-122.3400475 47.64939703)","98103","NORTH","WALLINGFORD"
956244,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/13/2025 07:41:09 AM","2025-01-13","07:41:09","3901 4TH AVE NE, SEATTLE, WA 98105",47.6552401,-122.32489894,"POINT (-122.32489894 47.6552401)","98105","NORTH","WALLINGFORD"
956280,"Nuisance dogs in a park","FAS-Finance and Administrative Services","01/13/2025 08:07:36 AM","2025-01-13","08:07:36","1901 N NORTHLAKE WAY, SEATTLE, WA 98103",47.64584128,-122.33596382,"POINT (-122.33596382 47.64584128)","98103","NORTH","WALLINGFORD"
956306,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","01/13/2025 08:18:56 AM","2025-01-13","08:18:56","4504 WOODLAWN AVE N, SEATTLE, WA 98103",47.66165201,-122.33888557,"POINT (-122.33888557 47.66165201)","98103","NORTH","WALLINGFORD"
956307,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 08:07:21 AM","2025-01-13","08:07:21","217 NE 42ND ST, SEATTLE, WA 98105",47.65756114,-122.32633267,"POINT (-122.32633267 47.65756114)","98105","NORTH","WALLINGFORD"
956314,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 08:37:41 AM","2025-01-13","08:37:41","1401 N 36TH ST, SEATTLE, WA 98103",47.65038697,-122.34116118,"POINT (-122.34116118 47.65038697)","98103","NORTH","WALLINGFORD"
956370,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/13/2025 09:05:47 AM","2025-01-13","09:05:47","4751 5TH AVE NE, SEATTLE, WA 98105",47.66463659,-122.32323113,"POINT (-122.32323113 47.66463659)","98105","NORTH","WALLINGFORD"
956374,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 09:05:52 AM","2025-01-13","09:05:52","1400 N 36TH ST, SEATTLE, WA 98103",47.65067589,-122.34118581,"POINT (-122.34118581 47.65067589)","98103","NORTH","WALLINGFORD"
956381,"Nuisance dogs in a park","FAS-Finance and Administrative Services","01/13/2025 09:07:56 AM","2025-01-13","09:07:56","4900 MERIDIAN AVE N, SEATTLE, WA 98103",47.6639562,-122.33241613,"POINT (-122.33241613 47.6639562)","98103","NORTH","WALLINGFORD"
956458,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 09:52:08 AM","2025-01-13","09:52:08","3609 INTERLAKE AVE N, SEATTLE, WA 98103",47.65087933,-122.34161812,"POINT (-122.34161812 47.65087933)","98103","NORTH","WALLINGFORD"
956637,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","01/13/2025 10:58:37 AM","2025-01-13","10:58:37","1901 N NORTHLAKE WAY, SEATTLE, WA 98103",47.64584128,-122.33596382,"POINT (-122.33596382 47.64584128)","98103","NORTH","WALLINGFORD"
956649,"Unauthorized Encampment","SEA-City of Seattle","01/13/2025 11:13:54 AM","2025-01-13","11:13:54","4811 MERIDIAN AVE N, SEATTLE, WA 98103",47.66397794,-122.33395053,"POINT (-122.33395053 47.66397794)","98103","NORTH","WALLINGFORD"
956658,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 11:06:42 AM","2025-01-13","11:06:42","1401 N 36TH ST, SEATTLE, WA 98103",47.65038697,-122.34116118,"POINT (-122.34116118 47.65038697)","98103","NORTH","WALLINGFORD"
956679,"Unauthorized Encampment","SEA-City of Seattle","01/13/2025 11:27:02 AM","2025-01-13","11:27:02","4225 WALLINGFORD AVE N, SEATTLE, WA 98103",47.65874359,-122.33685388,"POINT (-122.33685388 47.65874359)","98103","NORTH","WALLINGFORD"
956731,"Parking Enforcement","SPD-Seattle Police Department","01/13/2025 11:59:10 AM","2025-01-13","11:59:10","3601 INTERLAKE AVE N, SEATTLE, WA 98103",47.65067554,-122.34161063,"POINT (-122.34161063 47.65067554)","98103","NORTH","WALLINGFORD"
