"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
603844,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","10/07/2023 09:02:25 AM","2023-10-07","09:02:25","3853 NE 88TH ST, SEATTLE, WA 98115",47.69217384,-122.28578951,"POINT (-122.28578951 47.69217384)","98115","NORTH","WEDGWOOD"
604060,"Overgrown Vegetation","FAS-Finance and Administrative Services","10/07/2023 02:41:01 PM","2023-10-07","02:41:01","7503 40TH AVE NE, SEATTLE, WA 98115",47.68323266,-122.28553212,"POINT (-122.28553212 47.68323266)","98115","NORTH","WEDGWOOD"
604109,"Overgrown Vegetation","FAS-Finance and Administrative Services","10/07/2023 04:25:49 PM","2023-10-07","04:25:49","9025 RAVENNA AVE NE, SEATTLE, WA 98115",47.69454339,-122.30462455,"POINT (-122.30462455 47.69454339)","98115","NORTH","WEDGWOOD"
604381,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/08/2023 10:39:09 AM","2023-10-08","10:39:09","8825 23RD AVE NE, SEATTLE, WA 98115",47.69287834,-122.30444561,"POINT (-122.30444561 47.69287834)","98115","NORTH","WEDGWOOD"
604928,"General Inquiry - City Light","SCL-Seattle City Light","10/09/2023 09:57:58 AM","2023-10-09","09:57:58","2519 NE 82ND ST, SEATTLE, WA 98115",47.68830867,-122.30068248,"POINT (-122.30068248 47.68830867)","98115","NORTH","WEDGWOOD"
605494,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","10/10/2023 06:15:44 AM","2023-10-10","06:15:44","3853 NE 88TH ST, SEATTLE, WA 98115",47.69217384,-122.28578951,"POINT (-122.28578951 47.69217384)","98115","NORTH","WEDGWOOD"
605701,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/10/2023 10:05:45 AM","2023-10-10","10:05:45","NE 94TH ST & 40TH AVE NE, SEATTLE, WA",47.69669922,-122.28528064,"POINT (-122.28528064 47.69669922)","","NORTH","WEDGWOOD"
606420,"Pothole","SDOT-Seattle Department of Transportation","10/11/2023 08:55:25 AM","2023-10-11","08:55:25","8245 40TH AVE NE, SEATTLE, WA 98115",47.68970644,-122.28565987,"POINT (-122.28565987 47.68970644)","98115","NORTH","WEDGWOOD"
606521,"Overgrown Vegetation","FAS-Finance and Administrative Services","10/11/2023 10:28:07 AM","2023-10-11","10:28:07","8500 LAKE CITY WAY NE, SEATTLE, WA 98115",47.69060086,-122.3072762,"POINT (-122.3072762 47.69060086)","98115","NORTH","WEDGWOOD"
606585,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/11/2023 11:24:33 AM","2023-10-11","11:24:33","7556 33RD AVE NE, SEATTLE, WA 98115",47.68467952,-122.29238106,"POINT (-122.29238106 47.68467952)","98115","NORTH","WEDGWOOD"
606605,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","10/11/2023 11:48:46 AM","2023-10-11","11:48:46","3250 NE 86TH ST, SEATTLE, WA 98115",47.691104,-122.29097405,"POINT (-122.29097405 47.691104)","98115","NORTH","WEDGWOOD"
606835,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","10/11/2023 03:08:13 PM","2023-10-11","03:08:13","7500 35TH AVE NE, SEATTLE, WA 98115",47.68332208,-122.29026341,"POINT (-122.29026341 47.68332208)","98115","NORTH","WEDGWOOD"
606976,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","10/11/2023 06:25:47 PM","2023-10-11","06:25:47","2317 NE 89TH ST, SEATTLE, WA 98115",47.69286655,-122.30348347,"POINT (-122.30348347 47.69286655)","98115","NORTH","WEDGWOOD"
607010,"Public Litter and Recycling Cans","SPU-Seattle Public Utilities","10/11/2023 06:35:57 PM","2023-10-11","06:35:57","8625 23RD AVE NE, SEATTLE, WA 98115",47.69198445,-122.30445577,"POINT (-122.30445577 47.69198445)","98115","NORTH","WEDGWOOD"
607336,"General Inquiry - City Light","SCL-Seattle City Light","10/12/2023 10:57:19 AM","2023-10-12","10:57:19","7737 45TH AVE NE, SEATTLE, WA 98115",47.68597209,-122.28019237,"POINT (-122.28019237 47.68597209)","98115","NORTH","WEDGWOOD"
607520,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/12/2023 01:52:38 PM","2023-10-12","01:52:38","7712 35TH AVE NE, SEATTLE, WA 98115",47.68529197,-122.29024506,"POINT (-122.29024506 47.68529197)","98115","NORTH","WEDGWOOD"
607637,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","10/12/2023 03:09:57 PM","2023-10-12","03:09:57","2317 NE 89TH ST, SEATTLE, WA 98115",47.69286655,-122.30348347,"POINT (-122.30348347 47.69286655)","98115","NORTH","WEDGWOOD"
607821,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","10/12/2023 05:41:50 PM","2023-10-12","05:41:50","8625 23RD AVE NE, SEATTLE, WA 98115",47.69198445,-122.30445577,"POINT (-122.30445577 47.69198445)","98115","NORTH","WEDGWOOD"
607851,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","10/12/2023 06:38:50 PM","2023-10-12","06:38:50","NE 85TH ST & 35TH AVE NE, SEATTLE, WA",47.69020301,-122.29071388,"POINT (-122.29071388 47.69020301)","","NORTH","WEDGWOOD"
