"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
512962,"Graffiti","SPU-Seattle Public Utilities","06/14/2023 04:28:52 PM","2023-06-14","04:28:52","900 DEXTER AVE N, SEATTLE, WA 98109",47.62724652,-122.3420988,"POINT (-122.3420988 47.62724652)","98109","WEST","WESTLAKE"
513361,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/15/2023 08:36:16 AM","2023-06-15","08:36:16","2000 DEXTER AVE N, SEATTLE, WA 98109",47.63680422,-122.34253123,"POINT (-122.34253123 47.63680422)","98109","WEST","WESTLAKE"
513787,"Unauthorized Encampment","SEA-City of Seattle","06/15/2023 03:43:32 PM","2023-06-15","03:43:32","650 GALER ST, SEATTLE, WA 98109",47.63254713,-122.34280473,"POINT (-122.34280473 47.63254713)","98109","WEST","WESTLAKE"
513961,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/15/2023 08:37:48 PM","2023-06-15","08:37:48","1912 8TH AVE N, SEATTLE, WA 98109",47.63631586,-122.34125623,"POINT (-122.34125623 47.63631586)","98109","WEST","WESTLAKE"
514536,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/16/2023 01:55:39 PM","2023-06-16","01:55:39","1601 DEXTER AVE N, SEATTLE, WA 98109",47.63355608,-122.34273454,"POINT (-122.34273454 47.63355608)","98109","WEST","WESTLAKE"
515332,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/17/2023 09:30:07 PM","2023-06-17","09:30:07","705 CROCKETT ST, SEATTLE, WA 98109",47.63760152,-122.34294758,"POINT (-122.34294758 47.63760152)","98109","WEST","WESTLAKE"
516907,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","06/20/2023 03:20:20 PM","2023-06-20","03:20:20","1920 DEXTER AVE N, SEATTLE, WA 98109",47.63644126,-122.34217781,"POINT (-122.34217781 47.63644126)","98109","WEST","WESTLAKE"
517952,"Parking Enforcement","SPD-Seattle Police Department","06/21/2023 02:35:00 PM","2023-06-21","02:35:00","1601 DEXTER AVE N, SEATTLE, WA 98109",47.63355608,-122.34273454,"POINT (-122.34273454 47.63355608)","98109","WEST","WESTLAKE"
518552,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","06/22/2023 11:23:59 AM","2023-06-22","11:23:59","2010 8TH AVE N, SEATTLE, WA 98109",47.63698655,-122.34124653,"POINT (-122.34124653 47.63698655)","98109","WEST","WESTLAKE"
519715,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","06/23/2023 04:29:18 PM","2023-06-23","04:29:18","2010 8TH AVE N, SEATTLE, WA 98109",47.63698655,-122.34124653,"POINT (-122.34124653 47.63698655)","98109","WEST","WESTLAKE"
519845,"Parking Enforcement","SPD-Seattle Police Department","06/23/2023 09:27:34 PM","2023-06-23","09:27:34","1438 WESTLAKE AVE N, SEATTLE, WA 98109",47.63177849,-122.34086369,"POINT (-122.34086369 47.63177849)","98109","WEST","WESTLAKE"
520396,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","06/25/2023 06:11:28 AM","2023-06-25","06:11:28","900 DEXTER AVE N, SEATTLE, WA 98109",47.62724652,-122.3420988,"POINT (-122.3420988 47.62724652)","98109","WEST","WESTLAKE"
520662,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","06/25/2023 03:00:12 PM","2023-06-25","03:00:12","1438 WESTLAKE AVE N, SEATTLE, WA 98109",47.63177849,-122.34086369,"POINT (-122.34086369 47.63177849)","98109","WEST","WESTLAKE"
521107,"Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","06/26/2023 08:49:29 AM","2023-06-26","08:49:29","901 DEXTER AVE N, SEATTLE, WA 98109",47.62736019,-122.34263809,"POINT (-122.34263809 47.62736019)","98109","WEST","WESTLAKE"
