"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
832933,"Streetlight Maintenance","SCL-Seattle City Light","08/15/2024 10:25:20 AM","2024-08-15","10:25:20","W LEE ST & WILLARD AVE W, SEATTLE, WA",47.63133608,-122.36572267,"POINT (-122.36572267 47.63133608)","","WEST","WEST QUEEN ANNE"
832946,"Pothole","SDOT-Seattle Department of Transportation","08/15/2024 10:05:11 AM","2024-08-15","10:05:11","501 W HIGHLAND DR, SEATTLE, WA 98119",47.6293944,-122.36340662,"POINT (-122.36340662 47.6293944)","98119","WEST","WEST QUEEN ANNE"
833003,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","08/15/2024 10:55:20 AM","2024-08-15","10:55:20","ELLIOTT AVE W & W PROSPECT ST, SEATTLE, WA",47.62858892,-122.37100295,"POINT (-122.37100295 47.62858892)","","WEST","WEST QUEEN ANNE"
833155,"Animal Noise","FAS-Finance and Administrative Services","08/15/2024 01:23:45 PM","2024-08-15","01:23:45","2148 8TH AVE W, SEATTLE, WA 98119",47.63920563,-122.367323,"POINT (-122.367323 47.63920563)","98119","WEST","WEST QUEEN ANNE"
833229,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","08/15/2024 02:20:08 PM","2024-08-15","02:20:08","1942 10TH AVE W, SEATTLE, WA 98119",47.63722249,-122.37007774,"POINT (-122.37007774 47.63722249)","98119","WEST","WEST QUEEN ANNE"
833318,"Unauthorized Encampment","SEA-City of Seattle","08/15/2024 03:10:55 PM","2024-08-15","03:10:55","1154 ELLIOTT AVE W, SEATTLE, WA 98119",47.63018879,-122.37241838,"POINT (-122.37241838 47.63018879)","98119","WEST","WEST QUEEN ANNE"
833479,"Pothole","SDOT-Seattle Department of Transportation","08/15/2024 06:30:03 PM","2024-08-15","06:30:03","1825 7TH AVE W, SEATTLE, WA 98119",47.63557326,-122.36666655,"POINT (-122.36666655 47.63557326)","98119","WEST","WEST QUEEN ANNE"
833570,"Nuisance dogs in a park","FAS-Finance and Administrative Services","08/15/2024 08:46:08 PM","2024-08-15","08:46:08","1834 3RD AVE W, SEATTLE, WA 98119",47.63502539,-122.35872128,"POINT (-122.35872128 47.63502539)","98119","WEST","WEST QUEEN ANNE"
833609,"Unauthorized Encampment","SEA-City of Seattle","08/15/2024 10:40:58 PM","2024-08-15","10:40:58","1460 ELLIOTT AVE W, SEATTLE, WA 98119",47.63204534,-122.37479265,"POINT (-122.37479265 47.63204534)","98119","WEST","WEST QUEEN ANNE"
833838,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","08/16/2024 09:26:53 AM","2024-08-16","09:26:53","521 W BLAINE ST, SEATTLE, WA 98119",47.63455763,-122.36478271,"POINT (-122.36478271 47.63455763)","98119","WEST","WEST QUEEN ANNE"
