"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
963303,"Unauthorized Encampment","SEA-City of Seattle","01/21/2025 06:39:03 PM","2025-01-21","06:39:03","614 NW 45TH ST, SEATTLE, WA 98107",47.66160816,-122.36512155,"POINT (-122.36512155 47.66160816)","98107","NORTH","WEST WOODLAND"
963409,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 07:08:44 AM","2025-01-22","07:08:44","5118 14TH AVE NW, SEATTLE, WA 98107",47.66627321,-122.3732244,"POINT (-122.3732244 47.66627321)","98107","NORTH","WEST WOODLAND"
963481,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 08:11:15 AM","2025-01-22","08:11:15","4502 14TH AVE NW, SEATTLE, WA 98107",47.66170793,-122.37335194,"POINT (-122.37335194 47.66170793)","98107","NORTH","WEST WOODLAND"
963518,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 09:05:42 AM","2025-01-22","09:05:42","800 NW 60TH ST, SEATTLE, WA 98107",47.67252008,-122.36643412,"POINT (-122.36643412 47.67252008)","98107","NORTH","WEST WOODLAND"
963533,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/22/2025 08:59:34 AM","2025-01-22","08:59:34","5500 14TH AVE NW, SEATTLE, WA 98107",47.66906258,-122.37307693,"POINT (-122.37307693 47.66906258)","98107","NORTH","WEST WOODLAND"
963554,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 09:33:52 AM","2025-01-22","09:33:52","6255 7TH AVE NW, SEATTLE, WA 98107",47.67580843,-122.36538845,"POINT (-122.36538845 47.67580843)","98107","NORTH","WEST WOODLAND"
963560,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 09:37:53 AM","2025-01-22","09:37:53","802 NW 64TH ST, SEATTLE, WA 98107",47.67544503,-122.36628939,"POINT (-122.36628939 47.67544503)","98107","NORTH","WEST WOODLAND"
963564,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 09:39:55 AM","2025-01-22","09:39:55","6300 8TH AVE NW, SEATTLE, WA 98107",47.67518475,-122.36548548,"POINT (-122.36548548 47.67518475)","98107","NORTH","WEST WOODLAND"
963565,"Unauthorized Encampment","SEA-City of Seattle","01/22/2025 09:30:03 AM","2025-01-22","09:30:03","6255 7TH AVE NW, SEATTLE, WA 98107",47.67580843,-122.36538845,"POINT (-122.36538845 47.67580843)","98107","NORTH","WEST WOODLAND"
963579,"Parking Enforcement","SPD-Seattle Police Department","01/22/2025 09:41:56 AM","2025-01-22","09:41:56","5317 6TH AVE NW, SEATTLE, WA 98107",47.66772901,-122.36351724,"POINT (-122.36351724 47.66772901)","98107","NORTH","WEST WOODLAND"
963591,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","01/22/2025 09:58:07 AM","2025-01-22","09:58:07","1453 NW 54TH ST, SEATTLE, WA 98107",47.66757502,-122.37525673,"POINT (-122.37525673 47.66757502)","98107","NORTH","WEST WOODLAND"
963667,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","01/22/2025 11:04:31 AM","2025-01-22","11:04:31","4715 9TH AVE NW, SEATTLE, WA 98107",47.66325434,-122.36954557,"POINT (-122.36954557 47.66325434)","98107","NORTH","WEST WOODLAND"
963701,"Parking Enforcement","SPD-Seattle Police Department","01/22/2025 11:36:46 AM","2025-01-22","11:36:46","4700 9TH AVE NW, SEATTLE, WA 98107",47.66340906,-122.3684026,"POINT (-122.3684026 47.66340906)","98107","NORTH","WEST WOODLAND"
