"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
758887,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/22/2024 06:55:07 PM","2024-05-22","06:55:07","7035 8TH AVE NW, SEATTLE, WA 98117",47.6806044,-122.3663655,"POINT (-122.3663655 47.6806044)","98117","NORTH","WHITTIER HEIGHTS"
759206,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","05/23/2024 10:18:17 AM","2024-05-23","10:18:17","DIBBLE AVE NW & NW 83RD ST, SEATTLE, WA",47.68910986,-122.36727059,"POINT (-122.36727059 47.68910986)","","NORTH","WHITTIER HEIGHTS"
759413,"Unauthorized Encampment","SEA-City of Seattle","05/23/2024 12:58:20 PM","2024-05-23","12:58:20","8360 11TH AVE NW, SEATTLE, WA 98117",47.69047902,-122.37012718,"POINT (-122.37012718 47.69047902)","98117","NORTH","WHITTIER HEIGHTS"
759493,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/23/2024 02:20:04 PM","2024-05-23","02:20:04","8033 14TH AVE NW, SEATTLE, WA 98117",47.68787259,-122.37435891,"POINT (-122.37435891 47.68787259)","98117","NORTH","WHITTIER HEIGHTS"
759579,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/23/2024 03:56:41 PM","2024-05-23","03:56:41","6515 DIVISION AVE NW, SEATTLE, WA 98117",47.67647938,-122.36677869,"POINT (-122.36677869 47.67647938)","98117","NORTH","WHITTIER HEIGHTS"
759669,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/23/2024 06:13:44 PM","2024-05-23","06:13:44","8302 14TH AVE NW, SEATTLE, WA 98117",47.68889936,-122.37380628,"POINT (-122.37380628 47.68889936)","98117","NORTH","WHITTIER HEIGHTS"
759684,"Overgrown Vegetation","FAS-Finance and Administrative Services","05/23/2024 06:12:43 PM","2024-05-23","06:12:43","8342 MARY AVE NW, SEATTLE, WA 98117",47.68994468,-122.3752917,"POINT (-122.3752917 47.68994468)","98117","NORTH","WHITTIER HEIGHTS"
759768,"Parking Enforcement","SPD-Seattle Police Department","05/23/2024 08:42:54 PM","2024-05-23","08:42:54","7738 12TH AVE NW, SEATTLE, WA 98117",47.68623279,-122.37117698,"POINT (-122.37117698 47.68623279)","98117","NORTH","WHITTIER HEIGHTS"
759852,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/24/2024 06:43:26 AM","2024-05-24","06:43:26","8023 8TH AVE NW, SEATTLE, WA 98117",47.68769078,-122.36634531,"POINT (-122.36634531 47.68769078)","98117","NORTH","WHITTIER HEIGHTS"
759853,"Unauthorized Encampment","SEA-City of Seattle","05/24/2024 06:42:26 AM","2024-05-24","06:42:26","8107 8TH AVE NW, SEATTLE, WA 98117",47.68794991,-122.36632038,"POINT (-122.36632038 47.68794991)","98117","NORTH","WHITTIER HEIGHTS"
759889,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/24/2024 07:29:36 AM","2024-05-24","07:29:36","8107 8TH AVE NW, SEATTLE, WA 98117",47.68794991,-122.36632038,"POINT (-122.36632038 47.68794991)","98117","NORTH","WHITTIER HEIGHTS"
760089,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/24/2024 10:44:19 AM","2024-05-24","10:44:19","6711 DIBBLE AVE NW, SEATTLE, WA 98117",47.67810365,-122.3678958,"POINT (-122.3678958 47.67810365)","98117","NORTH","WHITTIER HEIGHTS"
760272,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/24/2024 05:53:47 PM","2024-05-24","05:53:47","8101 8TH AVE NW, SEATTLE, WA 98117",47.68780573,-122.36642737,"POINT (-122.36642737 47.68780573)","98117","NORTH","WHITTIER HEIGHTS"
760318,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/24/2024 05:54:34 PM","2024-05-24","05:54:34","7035 8TH AVE NW, SEATTLE, WA 98117",47.6806044,-122.3663655,"POINT (-122.3663655 47.6806044)","98117","NORTH","WHITTIER HEIGHTS"
760328,"Parking Enforcement","SPD-Seattle Police Department","05/24/2024 05:55:27 PM","2024-05-24","05:55:27","7008 MARY AVE NW, SEATTLE, WA 98117",47.67985241,-122.37549923,"POINT (-122.37549923 47.67985241)","98117","NORTH","WHITTIER HEIGHTS"
760665,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/25/2024 10:18:02 AM","2024-05-25","10:18:02","7357 12TH AVE NW, SEATTLE, WA 98117",47.68310543,-122.37177612,"POINT (-122.37177612 47.68310543)","98117","NORTH","WHITTIER HEIGHTS"
760678,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/25/2024 10:45:15 AM","2024-05-25","10:45:15","7357 12TH AVE NW, SEATTLE, WA 98117",47.68310543,-122.37177612,"POINT (-122.37177612 47.68310543)","98117","NORTH","WHITTIER HEIGHTS"
760825,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","05/25/2024 01:48:40 PM","2024-05-25","01:48:40","1103 NW 85TH ST, SEATTLE, WA 98117",47.69049387,-122.37063162,"POINT (-122.37063162 47.69049387)","98117","NORTH","WHITTIER HEIGHTS"
760826,"Clogged Storm Drain","SPU-Seattle Public Utilities","05/25/2024 01:46:36 PM","2024-05-25","01:46:36","1111 NW 85TH ST, SEATTLE, WA 98117",47.69051795,-122.37103081,"POINT (-122.37103081 47.69051795)","98117","NORTH","WHITTIER HEIGHTS"
760842,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","05/25/2024 01:49:39 PM","2024-05-25","01:49:39","1103 NW 85TH ST, SEATTLE, WA 98117",47.69049387,-122.37063162,"POINT (-122.37063162 47.69049387)","98117","NORTH","WHITTIER HEIGHTS"
760847,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","05/25/2024 01:51:38 PM","2024-05-25","01:51:38","1111 NW 85TH ST, SEATTLE, WA 98117",47.69051795,-122.37103081,"POINT (-122.37103081 47.69051795)","98117","NORTH","WHITTIER HEIGHTS"
761244,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","05/26/2024 12:20:56 PM","2024-05-26","12:20:56","6542 DIVISION AVE NW, SEATTLE, WA 98117",47.67723465,-122.36630392,"POINT (-122.36630392 47.67723465)","98117","NORTH","WHITTIER HEIGHTS"
761319,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","05/26/2024 02:12:49 PM","2024-05-26","02:12:49","6735 ALONZO AVE NW C, SEATTLE, WA 98117",47.67885003,-122.37558114,"POINT (-122.37558114 47.67885003)","98117","NORTH","WHITTIER HEIGHTS"
761528,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","05/26/2024 07:47:20 PM","2024-05-26","07:47:20","1337 NW 80TH ST, SEATTLE, WA 98117",47.68681441,-122.37325028,"POINT (-122.37325028 47.68681441)","98117","NORTH","WHITTIER HEIGHTS"
