"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
99141,"Pothole","SDOT-Seattle Department of Transportation","09/01/2021 01:13:19 PM","2021-09-01","01:13:19","6630 NE WINDERMERE RD, SEATTLE, WA 98115",47.67282928,-122.25575692,"POINT (-122.25575692 47.67282928)","98115","NORTH","WINDERMERE"
99143,"Pothole","SDOT-Seattle Department of Transportation","09/01/2021 01:15:24 PM","2021-09-01","01:15:24","6640 NE WINDERMERE RD, SEATTLE, WA 98115",47.67320628,-122.25544,"POINT (-122.25544 47.67320628)","98115","NORTH","WINDERMERE"
99154,"Pothole","SDOT-Seattle Department of Transportation","09/01/2021 01:13:23 PM","2021-09-01","01:13:23","6633 NE WINDERMERE RD, SEATTLE, WA 98115",47.67291673,-122.25503783,"POINT (-122.25503783 47.67291673)","98115","NORTH","WINDERMERE"
99321,"Streetlight Maintenance","SCL-Seattle City Light","09/01/2021 09:12:58 PM","2021-09-01","09:12:58","4817 STANFORD AVE NE, SEATTLE, WA 98105",47.67040527,-122.27556197,"POINT (-122.27556197 47.67040527)","98105","NORTH","WINDERMERE"
99329,"Streetlight Maintenance","SCL-Seattle City Light","09/01/2021 09:10:57 PM","2021-09-01","09:10:57","4808 STANFORD AVE NE, SEATTLE, WA 98105",47.67080253,-122.27593203,"POINT (-122.27593203 47.67080253)","98105","NORTH","WINDERMERE"
99864,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/02/2021 08:07:31 PM","2021-09-02","08:07:31","4529 51ST AVE NE, SEATTLE, WA 98105",47.66216435,-122.27277926,"POINT (-122.27277926 47.66216435)","98105","NORTH","WINDERMERE"
100065,"Parking Enforcement","SPD-Seattle Police Department","09/03/2021 10:24:02 AM","2021-09-03","10:24:02","6208 60TH AVE NE SAND POINT ELEMENTARY SCHOOL, SEATTLE, WA 98115",47.67365154,-122.26293321,"POINT (-122.26293321 47.67365154)","98115","NORTH","WINDERMERE"
100562,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","09/04/2021 04:15:41 PM","2021-09-04","04:15:41","5400 PRINCETON AVE NE, SEATTLE, WA 98105",47.66893982,-122.27537278,"POINT (-122.27537278 47.66893982)","98105","NORTH","WINDERMERE"
100913,"Parking Enforcement","SPD-Seattle Police Department","09/05/2021 09:56:17 PM","2021-09-05","09:56:17","6534 NE 60TH ST, SEATTLE, WA 98115",47.67235943,-122.25656758,"POINT (-122.25656758 47.67235943)","98115","NORTH","WINDERMERE"
100951,"Illegal Dumping / Needles","SPU-Seattle Public Utilities","09/06/2021 07:55:06 AM","2021-09-06","07:55:06","6630 NE WINDERMERE RD, SEATTLE, WA 98115",47.67282928,-122.25575692,"POINT (-122.25575692 47.67282928)","98115","NORTH","WINDERMERE"
101762,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/07/2021 04:38:05 PM","2021-09-07","04:38:05","6248 53RD AVE NE, SEATTLE, WA 98115",47.67521258,-122.26993225,"POINT (-122.26993225 47.67521258)","98115","NORTH","WINDERMERE"
101884,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/07/2021 09:56:31 PM","2021-09-07","09:56:31","6208 60TH AVE NE, SEATTLE, WA 98115",47.67365154,-122.26293321,"POINT (-122.26293321 47.67365154)","98115","NORTH","WINDERMERE"
102832,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/09/2021 04:22:01 PM","2021-09-09","04:22:01","5105 NE 65TH ST, SEATTLE, WA 98115",47.67552598,-122.27251982,"POINT (-122.27251982 47.67552598)","98115","NORTH","WINDERMERE"
103439,"Streetlight Maintenance","SCL-Seattle City Light","09/10/2021 06:56:13 PM","2021-09-10","06:56:13","4915 NE 60TH ST, SEATTLE, WA 98115",47.67307103,-122.27500454,"POINT (-122.27500454 47.67307103)","98115","NORTH","WINDERMERE"
103541,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","09/11/2021 09:36:58 AM","2021-09-11","09:36:58","5401 SAND POINT WAY NE, SEATTLE, WA 98105",47.66849209,-122.27478134,"POINT (-122.27478134 47.66849209)","98105","NORTH","WINDERMERE"
103823,"Streetlight Maintenance","SCL-Seattle City Light","09/11/2021 10:36:54 PM","2021-09-11","10:36:54","6311 NE 61ST ST, SEATTLE, WA 98115",47.67260866,-122.26020735,"POINT (-122.26020735 47.67260866)","98115","NORTH","WINDERMERE"
103970,"Streetlight Maintenance","SCL-Seattle City Light","09/12/2021 01:43:47 PM","2021-09-12","01:43:47","5410 NE WINDERMERE RD, SEATTLE, WA 98105",47.66950675,-122.26977183,"POINT (-122.26977183 47.66950675)","98105","NORTH","WINDERMERE"
104393,"General Inquiry - Public Utilities","SPU-Seattle Public Utilities","09/13/2021 10:21:03 AM","2021-09-13","10:21:03","4529 51ST AVE NE, SEATTLE, WA 98105",47.66216435,-122.27277926,"POINT (-122.27277926 47.66216435)","98105","NORTH","WINDERMERE"
105096,"General Inquiry - City Light","SCL-Seattle City Light","09/14/2021 12:54:34 PM","2021-09-14","12:54:34","5105 NE 65TH ST, SEATTLE, WA 98115",47.67552598,-122.27251982,"POINT (-122.27251982 47.67552598)","98115","NORTH","WINDERMERE"
105228,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","09/14/2021 04:22:20 PM","2021-09-14","04:22:20","6248 53RD AVE NE, SEATTLE, WA 98115",47.67521258,-122.26993225,"POINT (-122.26993225 47.67521258)","98115","NORTH","WINDERMERE"
105374,"Streetlight Maintenance","SCL-Seattle City Light","09/14/2021 09:54:04 PM","2021-09-14","09:54:04","5126 KENILWORTH PL NE, SEATTLE, WA 98105",47.66639704,-122.26929811,"POINT (-122.26929811 47.66639704)","98105","NORTH","WINDERMERE"
105379,"Streetlight Maintenance","SCL-Seattle City Light","09/14/2021 09:37:57 PM","2021-09-14","09:37:57","5126 KENILWORTH PL NE, SEATTLE, WA 98105",47.66639704,-122.26929811,"POINT (-122.26929811 47.66639704)","98105","NORTH","WINDERMERE"
105560,"Damaged Sidewalk","SDOT-Seattle Department of Transportation","09/15/2021 11:16:13 AM","2021-09-15","11:16:13","6206 53RD AVE NE, SEATTLE, WA 98115",47.67408317,-122.27008085,"POINT (-122.27008085 47.67408317)","98115","NORTH","WINDERMERE"
105683,"Pothole","SDOT-Seattle Department of Transportation","09/15/2021 01:55:31 PM","2021-09-15","01:55:31","6640 NE WINDERMERE RD, SEATTLE, WA 98115",47.67320628,-122.25544,"POINT (-122.25544 47.67320628)","98115","NORTH","WINDERMERE"
106429,"Streetlight Maintenance","SCL-Seattle City Light","09/16/2021 08:10:10 PM","2021-09-16","08:10:10","4573 PURDUE AVE NE, SEATTLE, WA 98105",47.6698005,-122.27681505,"POINT (-122.27681505 47.6698005)","98105","NORTH","WINDERMERE"
106449,"Streetlight Maintenance","SCL-Seattle City Light","09/16/2021 08:26:18 PM","2021-09-16","08:26:18","6040 PRINCETON AVE NE, SEATTLE, WA 98115",47.67456518,-122.27452029,"POINT (-122.27452029 47.67456518)","98115","NORTH","WINDERMERE"
106880,"General Inquiry - Customer Service Bureau","FAS-Finance and Administrative Services","09/18/2021 04:41:06 AM","2021-09-18","04:41:06","6347 NE 61ST ST, SEATTLE, WA 98115",47.67259774,-122.25878025,"POINT (-122.25878025 47.67259774)","98115","NORTH","WINDERMERE"
107153,"Streetlight Maintenance","SCL-Seattle City Light","09/18/2021 09:16:41 PM","2021-09-18","09:16:41","5101 NE 41ST ST, SEATTLE, WA 98105",47.6578326,-122.27267957,"POINT (-122.27267957 47.6578326)","98105","NORTH","WINDERMERE"
107164,"Streetlight Maintenance","SCL-Seattle City Light","09/18/2021 09:18:42 PM","2021-09-18","09:18:42","3935 51ST AVE NE, SEATTLE, WA 98105",47.65796975,-122.27359429,"POINT (-122.27359429 47.65796975)","98105","NORTH","WINDERMERE"
108642,"Streetlight Maintenance","SCL-Seattle City Light","09/21/2021 03:57:38 PM","2021-09-21","03:57:38","5535 CONISTON RD NE, SEATTLE, WA 98105",47.66956872,-122.27097567,"POINT (-122.27097567 47.66956872)","98105","NORTH","WINDERMERE"
