"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
767207,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 07:39:54 AM","2024-06-03","07:39:54","300 9TH AVE, SEATTLE, WA 98104",47.60385399,-122.32267637,"POINT (-122.32267637 47.60385399)","98104","EAST","YESLER TERRACE"
767262,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 07:48:58 AM","2024-06-03","07:48:58","925 S WASHINGTON ST, SEATTLE, WA 98104",47.60078007,-122.32078952,"POINT (-122.32078952 47.60078007)","98104","WEST","YESLER TERRACE"
767266,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 08:14:11 AM","2024-06-03","08:14:11","118 10TH AVE S, SEATTLE, WA 98104",47.60107984,-122.31901469,"POINT (-122.31901469 47.60107984)","98104","WEST","YESLER TERRACE"
767271,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 08:18:09 AM","2024-06-03","08:18:09","508 BROADWAY, SEATTLE, WA 98122",47.60652939,-122.32032754,"POINT (-122.32032754 47.60652939)","98122","EAST","YESLER TERRACE"
767506,"Overgrown Vegetation","FAS-Finance and Administrative Services","06/03/2024 09:57:59 AM","2024-06-03","09:57:59","808 FIR ST, SEATTLE, WA 98104",47.60284647,-122.32192791,"POINT (-122.32192791 47.60284647)","98104","EAST","YESLER TERRACE"
767933,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 02:41:06 PM","2024-06-03","02:41:06","354 10TH AVE S, SEATTLE, WA 98104",47.59960949,-122.31951229,"POINT (-122.31951229 47.59960949)","98104","WEST","YESLER TERRACE"
768380,"Parking Enforcement","SPD-Seattle Police Department","06/03/2024 09:05:04 PM","2024-06-03","09:05:04","913 E JAMES ST, SEATTLE, WA 98122",47.60713474,-122.32027819,"POINT (-122.32027819 47.60713474)","98122","EAST","YESLER TERRACE"
768431,"Parking Enforcement","SPD-Seattle Police Department","06/04/2024 06:51:29 AM","2024-06-04","06:51:29","118 10TH AVE S, SEATTLE, WA 98104",47.60107984,-122.31901469,"POINT (-122.31901469 47.60107984)","98104","WEST","YESLER TERRACE"
768438,"Parking Enforcement","SPD-Seattle Police Department","06/04/2024 06:55:33 AM","2024-06-04","06:55:33","841 S WASHINGTON ST, SEATTLE, WA 98104",47.60050389,-122.32126937,"POINT (-122.32126937 47.60050389)","98104","WEST","YESLER TERRACE"
768514,"Parking Enforcement","SPD-Seattle Police Department","06/04/2024 08:22:14 AM","2024-06-04","08:22:14","915 E JAMES ST, SEATTLE, WA 98122",47.6071345,-122.3202011,"POINT (-122.3202011 47.6071345)","98122","EAST","YESLER TERRACE"
768693,"Street Sign Maintenance","SDOT-Seattle Department of Transportation","06/04/2024 10:24:13 AM","2024-06-04","10:24:13","102 BROADWAY, SEATTLE, WA 98122",47.60191121,-122.32048474,"POINT (-122.32048474 47.60191121)","98122","EAST","YESLER TERRACE"
